id_monitor,timestamp,cpu_percent,ram_percent,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec,bpm_status,pa_status,spo2_status,resp_status,temperatura_status,pic_status,pvc_status,ecg_status,etco2_status
6,27-04-2026 18_44_11,46.4,71,27.1,2507.3512841756424,1168.628831814416,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_45_17,41.9,76,27.1,2970.9569179784594,13850.655343827673,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_46_23,39.5,73,27.1,37.06048053024027,108.7340513670257,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_47_29,33.4,72,27.1,2106.853355426678,1583.2866611433308,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_48_35,31.9,71,27.1,283.02319801159905,290.5401822700911,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_49_41,41.7,70,27.1,1035.595691797846,719.0082850041425,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_50_47,37.9,78,27.1,12769.782932891467,8541.217067108533,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_51_53,33.3,87.3,27.1,92.30157415078708,158.3811101905551,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 18_53_00,80,83.7,27.1,2731.287489643745,38876.793703396856,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_54_06,47.5,78,27.1,1698.314001657001,2026.089478044739,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_55_12,45.7,84,27.1,13756.081193040598,37123.063794531896,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_56_19,29.9,74,27.1,24.823529411764707,159.08036454018227,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_57_25,31.5,78,27.1,0.0,61.88400994200497,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_58_31,35.7,72,27.1,30006.227837613922,195422.0115990058,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 18_59_37,30.8,79,27.1,3020.079536039768,1584.3355426677713,Ativo,Inativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Inativo
6,27-04-2026 19_00_43,43.8,85,27.1,69.81322286661143,145.9412096106048,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_01_49,41.9,85,27.1,5366.672245236123,3596.959668599834,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_02_55,46.0,79,27.1,4855.527191383596,3991.8078210439103,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_04_01,63.1,77,27.1,11301.147009113503,207094.78628003315,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_05_08,44.5,75,27.1,1026.4999502899752,643.0534548467275,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_06_14,64.9,76,27.1,39474.99227837614,25244.847290803646,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_07_20,44.1,86,27.1,139.45103562551782,282.93650372825186,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Ativo
6,27-04-2026 19_08_27,43.5,85,27.1,2052.473670256835,275.74468931234463,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_09_33,38.0,73,27.1,10340.60125932063,13170.667937033968,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_10_39,41.0,82,27.1,347.6628334714167,623.5829328914665,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_11_45,43.0,86,27.1,6661.023429991716,4099.3342170671085,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_12_52,45.3,73,27.1,68.76076222038111,211.19376967688484,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_13_58,42.7,84,27.1,3732.2008616404305,525.1778624689312,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_15_04,37.6,74,27.1,564.6451367025683,577.0992543496271,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_16_10,44.0,76,27.1,2666.584457332229,87998.16414250206,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
